manager_id,first_name,last_name,email,age,gender,nationality,starting_date,years_of_experience,salary,performance_score
1,Tootsie,Collip,tcollip0@dailymotion.com,39,Female,Australia,2023-10-08,14,44194,7
2,Delano,Arnet,darnet1@phpbb.com,47,Male,Israel,2023-06-06,22,21201,6
3,Jakie,Sygrove,jsygrove2@goo.gl,59,Male,Japan,2023-11-05,26,32562,9
4,Gustavo,Schohier,gschohier3@mtv.com,59,Male,China,2021-10-15,,47577,9
5,Martin,Smitherman,msmitherman4@businessweek.com,,Agender,Germany,2020-07-03,28,35462,6
6,Reena,Simondson,rsimondson5@cbc.ca,46,Female,Japan,2021-10-03,13,26299,8
7,Avivah,Pawlowicz,apawlowicz6@bloglines.com,46,Female,Japan,2020-12-23,27,53211,6
8,Gregoor,Coope,gcoope7@xing.com,58,Male,France,2022-02-15,11,40720,7
9,Ruy,Rew,rrew8@printfriendly.com,42,Male,Israel,,16,34851,6
10,Arlene,Lait,alait9@sitemeter.com,35,Genderqueer,Germany,2021-09-08,21,45641,8
11,Chloette,Palfreman,cpalfremana@cisco.com,60,Female,Germany,2023-11-25,11,37152,8
12,Laurianne,Scalera,lscalerab@123-reg.co.uk,46,Female,France,2020-01-06,14,24060,7
13,Berty,Arber,barberc@mail.ru,58,Female,Canada,,21,20205,6
14,Maurise,Hauger,mhaugerd@simplemachines.org,30,Male,Australia,2020-06-30,9,35814,7
15,Berty,Bruneau,bbruneaue@upenn.edu,,,United States,2022-03-30,7,51423,6
16,Bobbe,Culshaw,bculshawf@yandex.ru,35,Female,Mexico,2023-12-21,12,54182,7
17,Meggy,Atley,matleyg@csmonitor.com,45,Bigender,Australia,2022-07-23,14,22847,2
18,Ernestus,Willerson,ewillersonh@imageshack.us,51,Male,United States,2020-03-23,,39903,7
19,Vonni,Donovan,vdonovani@1688.com,46,Female,Mexico,2021-10-23,23,19154,7
20,Zora,Folca,zfolcaj@goodreads.com,47,Female,Japan,2022-04-18,29,23580,6
21,Fredrick,Evreux,fevreuxk@usa.gov,49,,United States,2023-04-02,6,36581,9
22,Cristian,Brownrigg,cbrownriggl@omniture.com,32,Male,India,2021-12-20,11,41706,6
23,Menard,Lanchbury,mlanchburym@yahoo.com,54,,Brazil,2020-08-07,21,26325,8
24,Rickie,Spaducci,rspaduccin@feedburner.com,34,Male,Germany,2021-10-20,7,46475,6
25,Annelise,Davys,adavyso@huffingtonpost.com,32,Female,Germany,2021-03-27,16,45278,6
26,Harv,Howle,hhowlep@blogs.com,57,Male,Japan,2020-12-09,24,48904,8
27,Stormie,Pengelley,spengelleyq@yandex.ru,40,,Canada,2023-03-16,6,22345,10
28,Garek,Ferryman,gferrymanr@huffingtonpost.com,40,Non-binary,Israel,2020-11-14,10,43995,6
29,Newton,Trevains,ntrevainss@amazon.co.jp,46,Male,Japan,2020-10-08,14,23584,10
30,Mirella,Rissom,mrissomt@vkontakte.ru,45,Female,United Kingdom,2020-10-09,21,23592,8
31,Osmond,Main,omainu@ucla.edu,46,Male,Mexico,2020-07-25,6,48442,7
32,Evangeline,Sprull,esprullv@last.fm,44,Female,Germany,2023-01-11,15,16204,7
33,Cinderella,Trafford,ctraffordw@yahoo.com,42,Female,Germany,2021-10-12,19,42886,7
34,Phyllida,Cranstone,pcranstonex@cisco.com,55,Female,Italy,2023-04-22,14,37457,6
35,Latrina,Folli,lfolliy@wiley.com,59,Female,India,2023-05-24,24,40962,7
36,Bari,McHaffy,bmchaffyz@symantec.com,44,Female,Russia,2022-01-23,19,46728,3
37,Kristoffer,Willcott,kwillcott10@github.io,40,Male,Germany,2023-09-10,,23000,9
38,Cordula,Raulstone,craulstone11@tmall.com,44,Female,Russia,2021-10-25,6,22658,8
39,Jillian,Jiggen,jjiggen12@ucla.edu,,Female,Australia,2021-11-27,15,28368,7
40,Curcio,Iban,ciban13@weibo.com,53,Genderqueer,Germany,2020-02-23,21,27970,7
41,Miguela,Kendall,mkendall14@meetup.com,34,,United States,,30,33966,7
42,Hailey,Yves,hyves15@vinaora.com,46,,Italy,,6,22064,9
43,Althea,Moscon,amoscon16@nps.gov,50,Female,Germany,2020-03-20,13,46067,7
